Judul,Harga Normal,Harga Diskon,Kategori,Kondisi,Deskripsi,Label,Kota Target,Gambar1,Gambar2,Gambar3,Gambar4,Gambar5,Jeda
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,Pemalang,C:\17\1.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Bojongnangka, Pemalang",C:\17\2.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Paduraksa, Pemalang",C:\17\3.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,Purbalingga Lor,C:\17\4.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,Purbalingga Kidul,C:\17\5.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,Purbalingga Wetan,C:\17\6.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Purbalingga, Jawa Tengah, Indonesia",C:\17\7.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,Purworejo,C:\17\8.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Rembang, Jawa Tengah, Indonesia",C:\17\9.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Semarang, Jawa Tengah, Indonesia",C:\17\10.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Kranggan, Semarang Tengah",C:\17\11.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Jerakah, Semarang Barat",C:\17\12.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Brumbungan, Semarang Utara",C:\17\13.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Sragen, Jawa Tengah, Indonesia",C:\17\14.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Sukoharjo, Jawa Tengah, Indonesia",C:\17\15.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Tegal, Jawa Tengah, Indonesia",C:\17\16.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Temanggung, Jawa Tengah, Indonesia",C:\17\17.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Giripurwo, Wonogiri",C:\17\18.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Giritirto, Wonogiri",C:\17\19.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Wonogiri, Jawa Tengah, Indonesia",C:\17\20.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Wonosobo, Jawa Tengah, Indonesia",C:\17\21.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,Kota Salatiga,C:\17\22.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Tegalrejo, Salatiga",C:\17\23.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Pulutan, Sidorejo Lor, Salatiga",C:\17\24.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,Surakarta,C:\17\25.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,Bantul,C:\17\26.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Parangtritis, Kretek, Bantul",C:\17\27.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,Sleman,C:\17\1.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,Yogyakarta,C:\17\2.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Mergangsan, Special Region of Yogyakarta",C:\17\3.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Mlati, Special Region of Yogyakarta",C:\17\4.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Gamping, Yogyakarta, Indonesia",C:\17\5.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",99,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",ed,"Sewon, Yogyakarta, Indonesia",C:\17\6.jpg,,,,,20
