Judul,Harga Normal,Harga Diskon,Kategori,Kondisi,Deskripsi,Label,Kota Target,Gambar1,Gambar2,Gambar3,Gambar4,Gambar5,Jeda
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",123,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",ed,Gunung Mas,C:\17\1.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",123,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",ed,Murung Raya,C:\17\2.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",123,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",ed,Palangka Raya,C:\17\3.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",123,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",ed,Kabupaten Balangan,C:\17\4.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",123,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",ed,Kabupaten Banjar,C:\17\5.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",123,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",ed,Kota Banjarbaru,C:\17\6.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",123,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",ed,Kabupaten Barito Kuala,C:\17\7.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",123,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",ed,Kabupaten Tabalong,C:\17\8.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",123,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",ed,Kabupaten Tapin,C:\17\9.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",123,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",ed,Kota Banjarmasin,C:\17\10.jpg,,,,,20
