Judul,Harga Normal,Harga Diskon,Kategori,Kondisi,Deskripsi,Label,Kota Target,Gambar1,Gambar2,Gambar3,Gambar4,Gambar5,Jeda
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",621,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",,Balikpapan,C:\17\1.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",621,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",,"Bandara, Samarinda",C:\17\2.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",621,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",,"Biatan, Kalimantan Timur, Indonesia",C:\17\3.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",621,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",,Bontang Baru,C:\17\4.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",621,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",,Bontang Kuala,C:\17\5.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",621,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",,"Bontang, Kalimantan Timur, Indonesia",C:\17\6.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",621,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",,"Bukit Biru, Tenggarong",C:\17\7.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",621,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",,Bulungan,C:\17\8.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",621,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",,Gunung Samarinda,C:\17\9.jpg,,,,,20
"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",621,0,Peralatan,Baru,"Pom Mini Cpm Pom Mini Murah Pom Mini Kecil, Pom Mini toko madura, Pom Mini Isi 2 Pom Mini Pontianak",,"Janju, Tanah Grogot",C:\17\10.jpg,,,,,20
