Judul,Harga Normal,Harga Diskon,Kategori,Kondisi,Deskripsi,Label,Kota Target,Gambar1,Gambar2,Gambar3,Gambar4,Gambar5,Jeda
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Asmat, Papua, Indonesia",C:\17\1.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Vim, Jayapura",C:\17\2.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Jayapura, Indonesia",C:\17\3.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Mandala, Jayapura",C:\17\4.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Imbi, Jayapura",C:\17\5.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Ardipura, Jayapura",C:\17\6.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Mappi Post, Papua, Indonesia",C:\17\7.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Merauke, Papua, Indonesia",C:\17\8.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Samkai, Merauke",C:\17\9.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Papua",,"Kelapa Lima, Merauke",C:\17\10.jpg,,,,,20
