Judul,Harga Normal,Harga Diskon,Kategori,Kondisi,Deskripsi,Label,Kota Target,Gambar1,Gambar2,Gambar3,Gambar4,Gambar5,Jeda
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Krandegan, Banjarnegara",C:\17\1.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Banjarnegara, Jawa Tengah, Indonesia",C:\17\2.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Banyumas, Jawa Tengah",C:\17\3.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Batang, Jawa Tengah, Indonesia",C:\17\4.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Blora, Jawa Tengah, Indonesia",C:\17\5.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Penggung, Boyolali",C:\17\6.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Boyolali, Jawa Tengah, Indonesia",C:\17\7.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Brebes, Jawa Tengah, Indonesia",C:\17\8.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,Cilacap,C:\17\9.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Demak, Jawa Tengah, Indonesia",C:\17\10.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Grobogan, Jawa Tengah, Indonesia",C:\17\11.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,Jepara,C:\17\12.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Karangkebagusan, Jepara",C:\17\13.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Karanganyar, Jawa Tengah, Indonesia",C:\17\14.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah, Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Semarang",,"Kebumen, Jawa Tengah, Indonesia",C:\17\15.jpg,,,,,20
