Judul,Harga Normal,Harga Diskon,Kategori,Kondisi,Deskripsi,Label,Kota Target,Gambar1,Gambar2,Gambar3,Gambar4,Gambar5,Jeda
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Kuningan 1,C:\17\1.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Majalengka,C:\17\2.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Majalengka Wetan,C:\17\3.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Cisetu, Rajagaluh, Majalengka",C:\17\4.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Sukaraja Kulon, Jatiwangi, Majalengka",C:\17\5.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Pangandaran,C:\17\6.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Babakan, Pangandaran",C:\17\7.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Sukaresik, Pangandaran",C:\17\8.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Pagergunung, Pangandaran",C:\17\9.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Purwakarta,C:\17\10.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Ciseureuh, Purwakarta",C:\17\11.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Ciwareng, Purwakarta",C:\17\12.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Subang, Indonesia",C:\17\13.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Dangdeur, Subang",C:\17\14.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Cigadung, Subang",C:\17\15.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Sukabumi,C:\17\16.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Sukabumi Indah, Sukabumi",C:\17\17.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Subangjaya, Sukabumi",C:\17\18.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Jagabaya 3, Sukabumi",C:\17\19.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Sumedang,C:\17\20.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Talun, Sumedang",C:\17\21.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Situ, Sumedang",C:\17\22.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Sirnamulya, Sumedang",C:\17\23.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Tasikmalaya,C:\17\24.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Tanjungsari, Tasikmalaya",C:\17\25.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Argasari, Kota Tasikmalaya",C:\17\26.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Panyingkiran, Kota Tasikmalaya",C:\17\27.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Purbaratu, Tasikmalaya",C:\17\1.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Cimahi,C:\17\2.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Kota Cimahi,C:\17\3.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,"Cimahiwal, West Java",C:\17\4.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Banjar,C:\17\5.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Kota Banjar,C:\17\6.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Banjar Sari,C:\17\7.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Banjar Waru,C:\17\8.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Depok,C:\17\9.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",1000,1000,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini toko madura, Pom Mini Gp, Pom Mini Isi 2, Pom Mini Bekasi",,Depok Dua Tengah,C:\17\10.jpg,,,,,20
