Judul,Harga Normal,Harga Diskon,Kategori,Kondisi,Deskripsi,Label,Kota Target,Gambar1,Gambar2,Gambar3,Gambar4,Gambar5,Jeda
"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",,Aceh Barat,C:\17\1.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",,Aceh Barat Daya,C:\17\2.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",,"Lapang-barat, Aceh",C:\17\3.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",,"Lingka-barat, Aceh",C:\17\4.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",,"Blangpidie, Aceh Barat Daya",C:\17\5.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",,"Lhoknga, Aceh Besar",C:\17\6.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",,Aceh Jaya,C:\17\7.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",,"Teunom, Aceh Jaya",C:\17\8.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",,"Calang, Aceh Jaya",C:\17\9.jpg,,,,,20
"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",0,0,Peralatan,Baru,"Pom Mini Cpm, Pom Mini Murah Pom Mini Isi 2, Pom Mini Gp, pom mini toko madura, Pom Mini Aceh",,"Tapak Tuan, Aceh Selatan",C:\17\10.jpg,,,,,20
