Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete
1,"Badas, Sumobito",Badas,,"Badas, East Java · 239 orang pernah singgah di sini",Delete
6,"Banyakan, Jawa Timur, Indonesia",Banyakan,,Kota,Delete
7,"Gampengrejo, Jawa Timur, Indonesia",Gampengrejo,,Kota,Delete
9,"Gurah, Jawa Timur, Indonesia",Gurah,,Kota,Delete
13,Kandangan,Kandangan,,"Kandangan, East Java · 2.135 orang pernah singgah di sini",Delete
16,Kandangan,Kandangan,,"Kandangan, East Java · 317 orang pernah singgah di sini",Delete
18,"Kandat, Jawa Timur, Indonesia",Kandat,,Kota,Delete
24,"Kunjang, Jawa Timur, Indonesia",Kunjang,,Kota,Delete
28,Mojo,Mojo,,"Mojo, East Java · 175 orang pernah singgah di sini",Delete
30,Tamping Mojo,Mojo,,"Tamping Mojo, East Java · 3.244 orang pernah singgah di sini",Delete
31,Dukuh Mojo,Mojo,,"Dukuh Mojo, East Java · 558 orang pernah singgah di sini",Delete
33,"Ngadiluwih, Jawa Timur, Indonesia",Ngadiluwih,,Kota,Delete
34,"Ngancar, Jawa Timur, Indonesia",Ngancar,,Kota,Delete
35,Pagu,Pagu,,"Pagu Wates Kediri · Pagu, East Java · 2.765 orang pernah singgah di sini",Delete
42,"Papar, Jawa Timur, Indonesia",Papar,,Kota,Delete
45,Pare,Pare,,Kota,Delete
50,Plemahan,Plemahan,,"Plemahan · Plemahan, East Java · 1.492 orang pernah singgah di sini",Delete
53,"Puncu, Jawa Timur, Indonesia",Puncu,,Kota,Delete
57,"Purwoasri, Jawa Timur, Indonesia",Purwoasri,,"Purwoasri, East Java · 8.128 orang pernah singgah di sini",Delete
60,"Semen, Jawa Timur, Indonesia",Semen,,Kota,Delete
65,Wates,Wates,,"Wates, East Java · 195 orang pernah singgah di sini",Delete
67,Wates Wetan,Wates,,"Wates Wetan, East Java · 2.700 orang pernah singgah di sini",Delete
68,Kediri,Kota Kediri,,Kota,Delete
70,"Pesantren, Tembelang",Pesantren,,"Pesantren, East Java · 837 orang pernah singgah di sini",Delete
71,"Pesantren, East Java",Pesantren,,"Pesantren, East Java · 4.483 orang pernah singgah di sini",Delete
72,"Pesantren 1, East Java",Pesantren,,"Pesantren 1, East Java · 733 orang pernah singgah di sini",Delete
74,"Mojoroto, Kediri",Mojoroto,,"Mojoroto, East Java · 4.379 orang pernah singgah di sini",Delete
75,"Mojoroto, Jawa Timur, Indonesia",Mojoroto,,"Mojoroto, East Java · 6.234 orang pernah singgah di sini",Delete
