Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Ambunten, Jawa Timur, Indonesia","Ambunten","","Kota","Delete",
"2","Arjasa, Jawa Timur, Indonesia","Arjasa","","Kota","Delete",
"3","Arjasari, Jawa Barat, Indonesia","Arjasa","","Kota","Delete",
"4","Batang Kali","Batang-Batang","","Kota","Delete",
"7","Batang Batang, Jawa Timur, Indonesia","Batang-Batang","","Kota","Delete",
"9","Batuputih, Jawa Timur, Indonesia","Batuputih","","Kota","Delete",
"14","Bluto, Jawa Timur, Indonesia","Bluto","","Kota","Delete",
"15","Dungkek, Jawa Timur, Indonesia","Dungkek","","Kota","Delete",
"17","Gayam","Gayam","","Gayam, East Java · 301 orang pernah singgah di sini","Delete",
"19","Cetak Gayam","Gayam","","Cetak Gayam, East Java · 2.867 orang pernah singgah di sini","Delete",
"22","Gapura, Jawa Timur, Indonesia","Gapura","","Kota","Delete",
"23","Gapurana, Jawa Timur, Indonesia","Gapura","","Kota","Delete",
"24","Gulukguluk, Jawa Timur, Indonesia","Guluk-Guluk","","Kota","Delete",
"30","Kalianget, Jawa Timur, Indonesia","Kalianget","","Kota","Delete",
"32","Lenteng, Jawa Timur, Indonesia","Lenteng","","Kota","Delete",
"33","Lenteng-timur, East Java","Lenteng","","Lenteng-timur, East Java · 7.234 orang pernah singgah di sini","Delete",
"37","Manding, Jawa Timur, Indonesia","Manding","","Kota","Delete",
"41","Pasongsongan, Jawa Timur, Indonesia","Pasongsongan","","Kota","Delete",
"42","Ras Tanura","Ra'as","","Kota","Delete",
"43","Raas, East Java","Ra'as","","Raas, East Java · 6.648 orang pernah singgah di sini","Delete",
"44","Belfast","Ra'as","","Kota","Delete",
"47","Rubaru, Jawa Timur, Indonesia","Rubaru","","Kota","Delete",
"49","Saronggi, East Java","Saronggi","","Saronggi, East Java · 3.656 orang pernah singgah di sini","Delete",
"53","Sapeken, Jawa Timur, Indonesia","Sapeken","","Kota","Delete",
"54","Kabupaten Sumenep","Sumenep","","Kota","Delete",
"55","Gedungan, Kota Sumenep","Sumenep","","Gedungan, East Java · 2.560 orang pernah singgah di sini","Delete",
"56","Paberasan, Kota Sumenep","Sumenep","","Paberasan, East Java · 4.208 orang pernah singgah di sini","Delete",
"57","Kebunan, Kota Sumenep","Sumenep","","Kebunan, East Java · 1.859 orang pernah singgah di sini","Delete",
"58","Parsanga, Kota Sumenep","Sumenep","","Parsanga, East Java · 1.163 orang pernah singgah di sini","Delete",
,,,,,,
