Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Ceweng, Diwek","Diwek","","Ceweng, East Java · 2.422 orang pernah singgah di sini","Delete",
"2","Keras, Diwek","Diwek","","Keras, East Java · 499 orang pernah singgah di sini","Delete",
"3","Diwek, Jawa Timur, Indonesia","Diwek","","Kota","Delete",
"6","Krembangan, Gudo","Gudo","","Krembangan, East Java · 1.078 orang pernah singgah di sini","Delete",
"7","Mejoyolosari, Gudo","Gudo","","Mejoyolosari, East Java · 3.526 orang pernah singgah di sini","Delete",
"8","Pesanggrahan, Gudo","Gudo","","Pesanggrahan, East Java · 684 orang pernah singgah di sini","Delete",
"9","Tambar, Jogoroto","Jogoroto","","Tambar, East Java · 2.662 orang pernah singgah di sini","Delete",
"10","Janti, Jogoroto","Jogoroto","","Janti, East Java · 4.391 orang pernah singgah di sini","Delete",
"12","Sengon, Jombang","Jombang","","Sengon, East Java · 5.377 orang pernah singgah di sini","Delete",
"13","Jombang, Jawa Timur, Indonesia","Jombang","","Kota","Delete",
"15","Jombang, Jawa Barat, Indonesia","Jombang","","Kota","Delete",
"16","Pengampon, Kabuh","Kabuh","","Pengampon, East Java · 768 orang pernah singgah di sini","Delete",
"17","Mangunan, Kabuh","Kabuh","","Mangunan, East Java · 605 orang pernah singgah di sini","Delete",
"18","Kabuh, Jawa Timur, Indonesia","Kabuh","","Kota","Delete",
"19","Sumber Gondang, Kabuh","Kabuh","","Sumber Gondang, East Java · 741 orang pernah singgah di sini","Delete",
"20","Kesamben","Kesamben","","Kesamben, East Java · 609 orang pernah singgah di sini","Delete",
"21","Kesamben, Jawa Timur, Indonesia","Kesamben","","Kota","Delete",
"22","Kesamben-kulon, East Java","Kesamben","","Kesamben-kulon, East Java · 5.484 orang pernah singgah di sini","Delete",
"23","Kesamben-wetan, East Java","Kesamben","","Kesamben-wetan, East Java · 8.326 orang pernah singgah di sini","Delete",
"25","Kudu","Kudu","","Kudu, East Java · 579 orang pernah singgah di sini","Delete",
"28","Kudu, East Java","Kudu","","Kudu, East Java · 6.625 orang pernah singgah di sini","Delete",
"29","Sidomulyo, Megaluh","Megaluh","","Sidomulyo, East Java · 920 orang pernah singgah di sini","Delete",
"30","Sumbersari, Megaluh","Megaluh","","Sumbersari, East Java · 1.388 orang pernah singgah di sini","Delete",
"31","Megaluh, East Java","Megaluh","","Megaluh, East Java · 13.637 orang pernah singgah di sini","Delete",
"34","Janti, Mojoagung","Mojoagung","","Janti, East Java · 430 orang pernah singgah di sini","Delete",
"35","Betek, Mojoagung","Mojoagung","","Betek, East Java · 910 orang pernah singgah di sini","Delete",
"36","Kauman, Mojoagung","Mojoagung","","Kauman, East Java · 720 orang pernah singgah di sini","Delete",
"37","Kedungpari, Mojowarno","Mojowarno","","Kedungpari, East Java · 1.487 orang pernah singgah di sini","Delete",
"38","Karanglo, Mojowarno","Mojowarno","","Karanglo, East Java · 1.021 orang pernah singgah di sini","Delete",
"39","Latsari, Mojowarno","Mojowarno","","Latsari, East Java · 319 orang pernah singgah di sini","Delete",
"40","Mojowarno, Jawa Timur, Indonesia","Mojowarno","","Kota","Delete",
"41","Ngoro","Ngoro","","Kota","Delete",
"42","Gajah, Ngoro","Ngoro","","Gajah, East Java · 1.027 orang pernah singgah di sini","Delete",
"43","Genukwatu, Ngoro","Ngoro","","Genukwatu, East Java · 1.745 orang pernah singgah di sini","Delete",
"44","Jombok, Ngoro","Ngoro","","Jombok, East Java · 1.523 orang pernah singgah di sini","Delete",
"45","Badang, Ngoro","Ngoro","","Badang, East Java · 2.719 orang pernah singgah di sini","Delete",
"46","Ngusikan","Ngusikan","","Ngusikan, East Java · 4.276 orang pernah singgah di sini","Delete",
"47","Kampar, Perak","Perak","","Kota","Delete",
"48","Slim, Perak","Perak","","Kota","Delete",
"49","Perak Utara","Perak","","Perak Utara, East Java · 1.169 orang pernah singgah di sini","Delete",
"50","Perak Barat","Perak","","tanjung sadari · Perak Barat, East Java · 3.979 orang pernah singgah di sini","Delete",
"51","Pagerwojo, Perak","Perak","","Pagerwojo, East Java · 2.756 orang pernah singgah di sini","Delete",
"53","Peterongan, Jawa Timur, Indonesia","Peterongan","","Kota","Delete",
"54","Plandaan","Plandaan","","Plandaan, East Java · 976 orang pernah singgah di sini","Delete",
"55","Kampungbaru, Plandaan","Plandaan","","Kampungbaru, East Java · 811 orang pernah singgah di sini","Delete",
"56","Darurejo, Plandaan","Plandaan","","Darurejo, East Java · 2.634 orang pernah singgah di sini","Delete",
"57","Jipurapah, Plandaan","Plandaan","","Jipurapah, East Java · 2.565 orang pernah singgah di sini","Delete",
"59","Ploso","Ploso","","Ploso, East Java · 679 orang pernah singgah di sini","Delete",
"61","Losari, Ploso","Ploso","","Losari, East Java · 2.235 orang pernah singgah di sini","Delete",
"62","Plosokandang","Ploso","","Plosokandang, East Java · 12.129 orang pernah singgah di sini","Delete",
"63","Badas, Sumobito","Sumobito","","Badas, East Java · 239 orang pernah singgah di sini","Delete",
"64","Plosokerep, Sumobito","Sumobito","","Plosokerep, East Java · 382 orang pernah singgah di sini","Delete",
"65","Mlaras, Sumobito","Sumobito","","Mlaras, East Java · 1.046 orang pernah singgah di sini","Delete",
"66","Sumobito, Jawa Timur, Indonesia","Sumobito","","Kota","Delete",
"67","Kendalsari, Sumobito","Sumobito","","Kendalsari, East Java · 797 orang pernah singgah di sini","Delete",
"68","Sentul, Tembelang","Tembelang","","Sentul, East Java · 4.785 orang pernah singgah di sini","Delete",
"69","Pesantren, Tembelang","Tembelang","","Pesantren, East Java · 837 orang pernah singgah di sini","Delete",
"71","Tembelang, Jawa Timur, Indonesia","Tembelang","","Kota","Delete",
"72","Panglungan, Wonosalam","Wonosalam","","Panglungan, East Java · 3.319 orang pernah singgah di sini","Delete",
"73","Wonosalam, Jawa Timur, Indonesia","Wonosalam","","Kota","Delete",
"74","Wonokerto, Wonosalam","Wonosalam","","Wonokerto, East Java · 1.193 orang pernah singgah di sini","Delete",
,,,,,,
