Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete
3,"Bancar, Jawa Timur, Indonesia",Bancar,,Kota,Delete
5,"Bancaran, Jawa Timur, Indonesia",Bancar,,"Bancaran, East Java · 8.740 orang pernah singgah di sini",Delete
6,Bangilan,Bangilan,,"Bangilan, East Java · 1.069 orang pernah singgah di sini",Delete
7,"Bangilan, Jawa Timur, Indonesia",Bangilan,,Kota,Delete
8,"Jatirogo, Jawa Timur, Indonesia",Jatirogo,,Kota,Delete
9,"Senori, Jawa Timur, Indonesia",Senori,,Kota,Delete
15,"Tambakboyo, Jawa Timur, Indonesia",Tambakboyo,,Kota,Delete
17,"Singgahan, Jawa Timur, Indonesia",Singgahan,,Kota,Delete
20,"Montong, Jawa Timur, Indonesia",Montong,,Kota,Delete
23,"Parengan, Jawa Timur, Indonesia",Parengan,,Kota,Delete
26,Sokobanja,Soko,,Kota,Delete
27,Sokoto,Soko,,Kota,Delete
29,"Rengel, Jawa Timur, Indonesia",Rengel,,Kota,Delete
32,"Grabagan, Jawa Timur, Indonesia",Grabagan,,Kota,Delete
33,"Plumpang, Jawa Timur, Indonesia",Plumpang,,Kota,Delete
34,"Widang, Jawa Timur, Indonesia",Widang,,Kota,Delete
41,Kalang Semanding,Semanding,,"Kalang Semanding, East Java · 1.244 orang pernah singgah di sini",Delete
43,"Semanding, Jawa Timur, Indonesia",Semanding,,Kota,Delete
44,"Merakurak, Jawa Timur, Indonesia",Merakurak,,Kota,Delete
45,"Perbon, Tuban",Tuban,,"Perbon, East Java · 5.491 orang pernah singgah di sini",Delete
46,"Tuban, Jawa Timur, Indonesia",Tuban,,Kota,Delete
50,"Jenu, Jawa Timur, Indonesia",Jenu,,Kota,Delete
55,Kerek,Kerek,,"Kerek, East Java · 477 orang pernah singgah di sini",Delete
