Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete
1,"Fatufeto, Alak",Alak,,"Fatufeto, East Nusa Tenggara · 14.828 orang pernah singgah di sini",Delete
2,"Batuplat, Alak",Alak,,"Batuplat, East Nusa Tenggara · 17.598 orang pernah singgah di sini",Delete
3,"Mantasi, Alak",Alak,,"Mantasi, East Nusa Tenggara · 6.051 orang pernah singgah di sini",Delete
4,"Nunbaun Sabu, Alak",Alak,,"Nunbaun Sabu, East Nusa Tenggara · 2.165 orang pernah singgah di sini",Delete
5,"Manulai 2, Alak",Alak,,"Manulai 2, East Nusa Tenggara · 18.152 orang pernah singgah di sini",Delete
6,"Lasiana, Kelapa Lima",Kelapa Lima,,"Lasiana, East Nusa Tenggara · 26.470 orang pernah singgah di sini",Delete
8,"Oesapa Barat, Kelapa Lima",Kelapa Lima,,"Oesapa Barat, East Nusa Tenggara · 33.246 orang pernah singgah di sini",Delete
9,"Oesapa Selatan, Kelapa Lima",Kelapa Lima,,"Oesapa Selatan, East Nusa Tenggara · 1.899 orang pernah singgah di sini",Delete
10,"Kelapa Lima, Nusa Tenggara Timur, Indonesia",Kelapa Lima,,Kota,Delete
11,"Merdeka, Kota Lama",Kota Lama,,"Merdeka, East Nusa Tenggara · 6.534 orang pernah singgah di sini",Delete
12,"Oeba, Kota Lama",Kota Lama,,"Oeba, East Nusa Tenggara · 10.327 orang pernah singgah di sini",Delete
13,"Fatubesi, Kota Lama",Kota Lama,,"Fatubesi, East Nusa Tenggara · 5.484 orang pernah singgah di sini",Delete
14,"Nefonaek, Kota Lama",Kota Lama,,"Nefonaek, East Nusa Tenggara · 6.032 orang pernah singgah di sini",Delete
15,"Solor, Kota Lama",Kota Lama,,"Solor, East Nusa Tenggara · 2.124 orang pernah singgah di sini",Delete
17,"Bakunase, Kota Raja",Kota Raja,,"Bakunase, East Nusa Tenggara · 25.861 orang pernah singgah di sini",Delete
18,"Naikoten 1, Kota Raja",Kota Raja,,"Naikoten 1, East Nusa Tenggara · 43.460 orang pernah singgah di sini",Delete
19,"Kuanino, Kota Raja",Kota Raja,,"Kuanino, East Nusa Tenggara · 30.848 orang pernah singgah di sini",Delete
20,"Fontein, Kota Raja",Kota Raja,,"Fontein, East Nusa Tenggara · 16.776 orang pernah singgah di sini",Delete
21,"Maulafa, Nusa Tenggara Timur, Indonesia",Maulafa,,Kota,Delete
22,"Oetete, Oebobo",Oebobo,,"Oetete, East Nusa Tenggara · 7.501 orang pernah singgah di sini",Delete
23,"Fatululi, Oebobo",Oebobo,,"Fatululi, East Nusa Tenggara · 37.054 orang pernah singgah di sini",Delete
24,"Liliba, Oebobo",Oebobo,,"Liliba, East Nusa Tenggara · 9.989 orang pernah singgah di sini",Delete
25,"Kayu Putih, Oebobo",Oebobo,,"Kayu Putih, East Nusa Tenggara · 18.519 orang pernah singgah di sini",Delete
26,"Tuak Daun Merah, Oebobo",Oebobo,,"Tuak Daun Merah, East Nusa Tenggara · 29.472 orang pernah singgah di sini",Delete
