Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Banyakan, Jawa Timur, Indonesia",Banyakan,Kota
"Gampengrejo, Jawa Timur, Indonesia",Gampengrejo,Kota
"Gurah, Jawa Timur, Indonesia",Gurah,Kota
"Kandat, Jawa Timur, Indonesia",Kandat,Kota
"Kunjang, Jawa Timur, Indonesia",Kunjang,Kota
"Mojoroto, Kediri",Mojo,"Mojo, East Java · 175 orang pernah singgah di sini"
"Ngadiluwih, Jawa Timur, Indonesia",Ngadiluwih,Kota
"Ngancar, Jawa Timur, Indonesia",Ngancar,Kota
"Pagu, Jawa Timur, Indonesia",Pagu,Kota
"Pare, East Java",Pare,Kota
"Papar, Jawa Timur, Indonesia",Papar,Kota
"Plemahan, Jawa Timur, Indonesia",Plemahan,Kota
"Puncu, Jawa Timur, Indonesia",Puncu,Kota
