Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Diwek, Jawa Timur, Indonesia",Diwek,Kota
"Pesanggrahan, Gudo",Gudo,"Pesanggrahan, East Java · 685 orang pernah singgah di sini"
"Tambar, Jogoroto",Jogoroto,"Tambar, East Java · 2.665 orang pernah singgah di sini"
"Jombang, Jawa Timur, Indonesia",Jombang,Kota
"Kabuh, Jawa Timur, Indonesia",Kabuh,Kota
"Sumber Gondang, Kabuh",Kabuh,"Sumber Gondang, East Java · 741 orang pernah singgah di sini"
"Kesamben, Jawa Timur, Indonesia",Kesamben,Kota
"Megaluh, East Java",Megaluh,"Megaluh, East Java · 13.645 orang pernah singgah di sini"
"Kauman, Mojoagung",Mojoagung,"Kauman, East Java · 724 orang pernah singgah di sini"
"Mojowarno, Jawa Timur, Indonesia",Mojowarno,Kota
"Gajah, Ngoro",Ngoro,"Gajah, East Java · 1.030 orang pernah singgah di sini"
Ngusikan,Ngusikan,"Ngusikan, East Java · 4.280 orang pernah singgah di sini"
"Pagerwojo, Perak",Perak,"Pagerwojo, East Java · 2.758 orang pernah singgah di sini"
"Peterongan, Jawa Timur, Indonesia",Peterongan,Kota
"Kampungbaru, Plandaan",Plandaan,"Kampungbaru, East Java · 811 orang pernah singgah di sini"
"Losari, Ploso",Ploso,"Losari, East Java · 2.238 orang pernah singgah di sini"
"Badas, Sumobito",Sumobito,"Badas, East Java · 238 orang pernah singgah di sini"
"Sentul, Tembelang",Tembelang,"Sentul, East Java · 4.790 orang pernah singgah di sini"
"Wonokerto, Wonosalam",Wonosalam,"Wonokerto, East Java · 1.194 orang pernah singgah di sini"
