Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Kedungkandang 1, East Java",Kedungkandang,"Kedungkandang 1, East Java · 378 orang pernah singgah di sini"
"Klojen, East Java",Klojen,"Klojen, East Java · 7.314 orang pernah singgah di sini"
"Lowokwaru, East Java",Lowokwaru,"Lowokwaru, East Java · 9.409 orang pernah singgah di sini"
"Ampelgading, Jawa Timur, Indonesia",Ampelgading,Kota
"Bantur, Jawa Timur, Indonesia",Bantur,Kota
"Bululawang, Jawa Timur, Indonesia",Bululawang,Kota
"Dampit, Jawa Timur, Indonesia",Dampit,"Dampit, East Java · 53.450 orang pernah singgah di sini"
"Dau, Jawa Timur, Indonesia",Dau,Kota
"Donomulyo, Jawa Timur, Indonesia",Donomulyo,Kota
"Gondanglegi, Jawa Timur, Indonesia",Gondanglegi,Kota
"Kalipare, Jawa Timur, Indonesia",Kalipare,Kota
"Karangploso, East Java",Karangploso,"Karangploso, East Java · 15.573 orang pernah singgah di sini"
"Kasembon, Jawa Timur, Indonesia",Kasembon,Kota
"Panggungrejo, Kepanjen",Kepanjen,"Panggungrejo, East Java · 4.034 orang pernah singgah di sini"
"Lawang, Jawa Timur, Indonesia",Lawang,Kota
"Ngajum, Jawa Timur, Indonesia",Ngajum,Kota
"Ngantang, Jawa Timur, Indonesia",Ngantang,Kota
"Pagak, Jawa Timur, Indonesia",Pagak,Kota
"Pagelaran, East Java",Pagelaran,"Pagelaran, East Java · 14.934 orang pernah singgah di sini"
"Pakisaji, Jawa Timur, Indonesia",Pakisaji,Kota
"Poncokusumo, Jawa Timur, Indonesia",Poncokusumo,Kota
Pujon,Pujon,Kota
"Sumbermanjing-Wetan, Jawa Timur, Indonesia",Sumbermanjing Wetan,Kota
"Sumberpucung, Jawa Timur, Indonesia",Sumberpucung,Kota
"Tajinan, Jawa Timur, Indonesia",Tajinan,Kota
"Tumpangrejo, East Java",Tumpang,"Tumpangrejo, East Java · 6.113 orang pernah singgah di sini"
"Kemulan, Turen",Turen,"Kemulan, East Java · 887 orang pernah singgah di sini"
"Wagir, East Java",Wagir,"Wagir, East Java · 8.436 orang pernah singgah di sini"
"Wajak, Jawa Timur, Indonesia",Wajak,Kota
