Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Balongpanggang, East Java",Balongpanggang,"Balongpanggang, East Java · 18.340 orang pernah singgah di sini"
"Benjeng, Jawa Timur, Indonesia",Benjeng,Kota
"Bungah, East Java",Bungah,"Bungah, East Java · 21.815 orang pernah singgah di sini"
"Cerme, Jawa Timur, Indonesia",Cerme,Kota
"Dukun, Jawa Timur, Indonesia",Dukun,Kota
Gresik,Gresik,Kota
"Kebomas, Jawa Timur, Indonesia",Kebomas,Kota
"Manyar, Jawa Timur, Indonesia",Manyar,Kota
"Menganti, Jawa Timur, Indonesia",Menganti,Kota
"Panceng, Jawa Timur, Indonesia",Panceng,Kota
"Sangkapura, Jawa Timur, Indonesia",Sangkapura,Kota
"Sidayu, Jawa Timur, Indonesia",Sidayu,Kota
"Ujungpangkah, Jawa Timur, Indonesia",Ujungpangkah,Kota
"Wringinanom, East Java",Wringinanom,"Wringinanom, East Java · 29.357 orang pernah singgah di sini"
