Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Bungkal, Jawa Timur, Indonesia",Bungkal,Kota
"Jenangan, Jawa Timur, Indonesia",Jenangan,Kota
"Mlarak, Jawa Timur, Indonesia",Mlarak,Kota
"Ngebel, Jawa Timur, Indonesia",Ngebel,Kota
"Ngrayun, Jawa Timur, Indonesia",Ngrayun,Kota
Ponorogo,Ponorogo,Kota
"Pudakkulon, East Java",Pudak,"Pudakkulon, East Java · 1.969 orang pernah singgah di sini"
"Pulung, Jawa Timur, Indonesia",Pulung,Kota
"Sambit, Jawa Timur, Indonesia",Sambit,Kota
"Slahung, Jawa Timur, Indonesia",Slahung,Kota
