Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
Doko,Doko,Kota
"Gandusari, Jawa Timur, Indonesia",Gandusari,Kota
"Garum, Jawa Timur, Indonesia",Garum,Kota
"Kanigoro, Jawa Timur, Indonesia",Kanigoro,Kota
"Nglegok, Jawa Timur, Indonesia",Nglegok,Kota
"Ponggok, Jawa Timur, Indonesia",Ponggok,Kota
"Sanankulon, East Java",Sanankulon,"Sanankulon, East Java · 9.233 orang pernah singgah di sini"
"Selopuro, Jawa Timur, Indonesia",Selopuro,Kota
"Srengat, Jawa Timur, Indonesia",Srengat,Kota
"Jegu, Sutojayan",Sutojayan,"Jegu, East Java · 2.767 orang pernah singgah di sini"
"Udanawu, Jawa Timur, Indonesia",Udanawu,Kota
"Wlingi, Jawa Timur, Indonesia",Wlingi,Kota
"Wonodadi, Jawa Timur, Indonesia",Wonodadi,Kota
