Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Balongbendo, Jawa Timur, Indonesia",Balongbendo,Kota
"Buduran, Jawa Timur, Indonesia",Buduran,Kota
"Gedangan, Jawa Timur, Indonesia",Gedangan,Kota
"Krembung, Jawa Timur, Indonesia",Krembung,Kota
"Krian, Jawa Timur, Indonesia",Krian,Kota
"Porong, Jawa Timur, Indonesia",Porong,Kota
"Sedati, Jawa Timur, Indonesia",Sedati,Kota
"Sidoarjo, Jawa Timur, Indonesia",Sidoarjo,Kota
"Tanggulangin, Jawa Timur, Indonesia",Tanggulangin,Kota
"Tarik, Jawa Timur, Indonesia",Tarik,Kota
"Tulangan, Jawa Timur, Indonesia",Tulangan,Kota
"Wonoayu, Jawa Timur, Indonesia",Wonoayu,"Wonoayu, East Java · 15.313 orang pernah singgah di sini"
