Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Bangorejo, Jawa Timur, Indonesia",Bangorejo,Kota
"Banyuwangi, Jawa Timur",Banyuwangi,Kota
"Cluring, Jawa Timur, Indonesia",Cluring,Kota
"Gambiran, Jawa Timur, Indonesia",Gambiran,Kota
"Kabat, Jawa Timur, Indonesia",Kabat,Kota
"Kalibaru, Jawa Timur, Indonesia",Kalibaru,Kota
"Kalipuro, East Java",Kalipuro,"Kalipuro, East Java · 20.848 orang pernah singgah di sini"
"Licin, Jawa Timur, Indonesia",Licin,Kota
"Muncar, Jawa Timur, Indonesia",Muncar,Kota
"Purwoharjo, Jawa Timur, Indonesia",Purwoharjo,Kota
"Rogojampi, Jawa Timur, Indonesia",Rogojampi,Kota
"Sempu, East Java",Sempu,"Sempu, East Java · 12.837 orang pernah singgah di sini"
"Singojuruh, Jawa Timur, Indonesia",Singojuruh,Kota
"Srono, Jawa Timur, Indonesia",Srono,Kota
"Wongsorejo, Jawa Timur, Indonesia",Wongsorejo,Kota
