Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Asembagus, Jawa Timur, Indonesia",Asembagus,Kota
"Banyuputih, Jawa Timur, Indonesia",Banyuputih,Kota
"Besuki, Jawa Timur, Indonesia",Besuki,Kota
"Jatibanteng, Jawa Timur, Indonesia",Jatibanteng,Kota
"Kapongan, Jawa Timur, Indonesia",Kapongan,Kota
"Kendit, Jawa Timur, Indonesia",Kendit,Kota
"Mangaran, Jawa Timur, Indonesia",Mangaran,Kota
"Mlandingan, Jawa Timur, Indonesia",Mlandingan,Kota
"Panarukan, Jawa Timur, Indonesia",Panarukan,Kota
Kabupaten Situbondo,Situbondo,Kota
"Sumbermalang, Jawa Timur, Indonesia",Sumbermalang,Kota
