Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Bantaran, Jawa Timur, Indonesia",Bantaran,Kota
"Dringu, Jawa Timur, Indonesia",Dringu,Kota
"Kraksaan, Jawa Timur, Indonesia",Kraksaan,Kota
"Krejengan, Jawa Timur, Indonesia",Krejengan,Kota
"Krucil, Jawa Timur, Indonesia",Krucil,Kota
"Leces, Jawa Timur, Indonesia",Leces,Kota
"Paiton, Jawa Timur, Indonesia",Paiton,Kota
"Pakuniran, Jawa Timur, Indonesia",Pakuniran,Kota
"Pajarakan-Kulon, Jawa Timur, Indonesia",Pajarakan,Kota
"Tiris, Jawa Timur, Indonesia",Tiris,Kota
"Tongas, Jawa Timur, Indonesia",Tongas,Kota
