Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Candipuro, Jawa Timur, Indonesia",Candipuro,Kota
"Gucialit, East Java",Gucialit,"Gucialit, East Java · 7.916 orang pernah singgah di sini"
"Jatiroto, Jawa Timur, Indonesia",Jatiroto,"Jatiroto, East Java · 54.910 orang pernah singgah di sini"
"Kedungjajang, Jawa Timur, Indonesia",Kedungjajang,Kota
"Klakah, Jawa Timur, Indonesia",Klakah,Kota
Lumajang,Lumajang,Kota
"Padang, East Java",Padang,"Padang, East Java · 1.812 orang pernah singgah di sini"
"Pasirian, Jawa Timur, Indonesia",Pasirian,Kota
Pasrujambe,Pasrujambe,"pasrujambe · Pasrujambe, East Java · 7.115 orang pernah singgah di sini"
"Pronojiwo, Jawa Timur, Indonesia",Pronojiwo,Kota
"Randuagung, Jawa Timur, Indonesia",Randuagung,Kota
"Ranuyoso, Jawa Timur, Indonesia",Ranuyoso,Kota
"Sidorejo,rowokangkung,lumajang,JATIM",Rowokangkung,"Sidorejo, East Java · 5.227 orang pernah singgah di sini"
"Senduro, Jawa Timur, Indonesia",Senduro,Kota
"Tempeh, Jawa Timur, Indonesia",Tempeh,Kota
