Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Banjarnegara, Jawa Tengah, Indonesia",Banjarnegara,Kota
"Banyumas, Jawa Tengah",Banyumas,Kota
"Batang, Jawa Tengah, Indonesia",Batang,Kota
"Blora, Jawa Tengah, Indonesia",Blora,Kota
"Boyolali, Jawa Tengah, Indonesia",Boyolali,Kota
"Brebes, Jawa Tengah, Indonesia",Brebes,Kota
"Cilacap, jawa tengah",Cilacap,Kota
"Demak, Central Java",Demak,Kota
"Grobogan, Jawa Tengah, Indonesia",Grobogan,Kota
"Jepara, Central Java",Jepara,Kota
"karanganyar, jawa tengah",Karanganyar,Kota
"Kebumen, Jawa Tengah, Indonesia",Kebumen,Kota
"Klaten, Jawa Tengah, Indonesia",Klaten,Kota
"Kudus, central java",Kudus,Kota
"magelang, central java",Magelang,Kota
"Gelangan, Magelang Utara",Magelang,"Gelangan, Central Java · 448 orang pernah singgah di sini"
"Pati, Jawa Tengah, Indonesia",Pati,Kota
"Pekalongan, Central Java",Pekalongan,Kota
"Pemalang, central java",Pemalang,Kota
"Purbalingga, Jawa Tengah, Indonesia",Purbalingga,Kota
"Purworejo, central java",Purworejo,"Purworejo, Central Java · 222 orang pernah singgah di sini"
"Rembang, Jawa Tengah, Indonesia",Rembang,Kota
"Semarang, Central Java",Semarang,"Semarang, Central Java · 2.882 orang pernah singgah di sini"
"Sragen, Jawa Tengah, Indonesia",Sragen,Kota
Sukoharjo,Sukoharjo,"Sukoharjo · Sukoharjo, Central Java · 1.725 orang pernah singgah di sini"
"Tegal, Jawa Tengah",Tegal,Kota
"Temanggung, Jawa Tengah, Indonesia",Temanggung,Kota
"Wonogiri, Jawa Tengah, Indonesia",Wonogiri,Kota
"Wonosobo, Jawa Tengah, Indonesia",Wonosobo,Kota
"magelang, central java",Magelang,Kota
"Pekalongan, Central Java",Pekalongan,Kota
Surakarta,Surakarta,Kota
