Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Bandung, West Java",Bandung,Kota
Bekasi,Bekasi,Kota
"Bogor, Indonesia",Bogor,Kota
"Ciamis, Jawa Barat, Indonesia",Ciamis,Kota
"Cianjur, Cianjur, Jawa Barat",Cianjur,"Cianjur, Cianjur, Jawa Barat · 752.949 orang pernah singgah di sini"
Kabupaten Cianjur,Cianjur,Kota
Cirebon,Cirebon,Kota
"Garut, west java",Garut,Kota
Indramayu,Indramayu,Kota
Karawang,Karawang,Kota
"Kuningan, Kuningan",Kuningan,Kota
Majalengka,Majalengka,Kota
"Purwakarta, west java",Purwakarta,Kota
"Subang, Indonesia",Subang,Kota
"Sukabumi, west java",Sukabumi,Kota
Sumedang,Sumedang,Kota
Tasikmalaya,Tasikmalaya,Kota
"Banjar,west java",Banjar,"Banjar, West Nusa Tenggara · 2.412 orang pernah singgah di sini"
Kota Cimahi,Cimahi,Kota
"Depok, Indonesia",Depok,Kota
