Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Agami","Agam","","Kota","Delete",
"6","Bonjol, Pasaman","Pasaman","","Kota","Delete",
"7","Sijunjung, Sumatera Barat, Indonesia","Sijunjung","","Kota","Delete",
"8","Solok","Solok","","Kota","Delete",
"9","Solok Sipin","Solok","","Solok Sipin, Jambi · 940 orang pernah singgah di sini","Delete",
"13","Tanah Datar (regentschap)","Tanah Datar","","Kabupaten Tanah Datar, Sumatera Barat · 340 orang pernah singgah di sini","Delete",
"14","Tanah Datar, Pekanbaru Kota","Tanah Datar","","Tanah Datar, Riau · 2.140 orang pernah singgah di sini","Delete",
"16","Kota Bukittinggi","Bukittinggi","","Kota","Delete",
"19","Padang, Indonesia","Padang","","Kota","Delete",
"20","Padang Pasir, Padang Barat","Padang","","Padang Pasir, West Sumatra · 6.918 orang pernah singgah di sini","Delete",
"21","Kota Padang Sidempuan","Padang","","Kota","Delete",
"22","Kota Padang Panjang","Padang Panjang","","Kota","Delete",
"23","Batipuh Panjang, Koto Tangah, Padang","Padang Panjang","","Batipuh Panjang, West Sumatra · 6.493 orang pernah singgah di sini","Delete",
"26","Kota Pariaman","Pariaman","","Kota","Delete",
"28","Kota Payakumbuh","Payakumbuh","","Kota","Delete",
"29","Kota Sawahlunto","Sawahlunto","","Kota","Delete",
"30","Solok","Solok","","Kota","Delete",
"31","Solok Sipin","Solok","","Solok Sipin, Jambi · 940 orang pernah singgah di sini","Delete",
,,,,,,
