Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Batanghari, Lampung, Indonesia","Batanghari","","Kota","Delete",
"2","Muara Bulian, Batanghari","Batanghari","","Kota","Delete",
"3","Durian Luncuk, Batin XXIV, Batanghari, Jambi","Batanghari","","Durian Luncuk, Batin XXIV, Batanghari, Jambi · 26.492 orang pernah singgah di sini","Delete",
"4","Muara Singoan, Muara Bulian, Batanghari, Jambi","Batanghari","","Muara Singoan, Muara Bulian, Batanghari, Jambi · 7.901 orang pernah singgah di sini","Delete",
"10","Merangin","Merangin","","Bangko, Jambi · Merangin, Jambi · 28.740 orang pernah singgah di sini","Delete",
"11","Sarolangun, Jambi, Indonesia","Sarolangun","","Kota","Delete",
"18","Kota Jambi","Jambi","","Kota","Delete",
"19","Bangko, Jambi, Indonesia","Jambi","","Kota","Delete",
"20","Muarabungo, Jambi, Indonesia","Jambi","","Kota","Delete",
"21","Telanaipura, Jambi","Jambi","","Telanaipura, Jambi · 109.371 orang pernah singgah di sini","Delete",
,,,,,,
