Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Pondok-tengah, Bengkulu","Bengkulu Tengah","","Pondok-tengah, Bengkulu · 3.123 orang pernah singgah di sini","Delete",
"7","Kepahiang, Bengkulu, Indonesia","Kepahiang","","Kota","Delete",
"8","Rejang Lebong","Lebong","","Kabupaten Rejang Lebong, Bengkulu · 35.590 orang pernah singgah di sini","Delete",
"13","Rejang Lebong","Rejang Lebong","","Kabupaten Rejang Lebong, Bengkulu · 35.590 orang pernah singgah di sini","Delete",
"14","Seluma, Bengkulu, Indonesia","Seluma","","Kota","Delete",
"16","Bengkulu, Bengkulu","Bengkulu","","Kota","Delete",
"17","Curup, Bengkulu, Indonesia","Bengkulu","","Kota","Delete",
"18","Manna, Bengkulu, Indonesia","Bengkulu","","Kota","Delete",
"19","Kepahiang, Bengkulu, Indonesia","Bengkulu","","Kota","Delete",
"20","Tais, Bengkulu, Indonesia","Bengkulu","","Kota","Delete",
,,,,,,
