Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Bonjol, Pasaman",Pasaman,Kota
"Sijunjung, Sumatera Barat, Indonesia",Sijunjung,Kota
"Solok, west sumatra",Solok,Kota
Tanah Datar (regentschap),Tanah Datar,"Kabupaten Tanah Datar, Sumatera Barat · 342 orang pernah singgah di sini"
Kota Bukittinggi,Bukittinggi,Kota
"Padang, Indonesia",Padang,Kota
Kota Pariaman,Pariaman,Kota
Kota Payakumbuh,Payakumbuh,Kota
Kota Sawahlunto,Sawahlunto,Kota
"Bungus Barat, Bungus Teluk Kabung, Padang",Bungus Teluk Kabung,"Bungus Barat, West Sumatra · 28.465 orang pernah singgah di sini"
"Koto Panjang Ikua Koto, Koto Tangah",Koto Tangah,"Koto Panjang Ikua Koto, West Sumatra · 10.870 orang pernah singgah di sini"
"Pasar Ambacang, Kuranji",Kuranji,"Pasar Ambacang, West Sumatra · 4.024 orang pernah singgah di sini"
"Lubuk Begalung Nan XX, Lubuk Begalung",Lubuk Begalung,"Lubuk Begalung Nan XX, West Sumatra · 8.306 orang pernah singgah di sini"
"Tarantang, Lubuk Kilangan",Lubuk Kilangan,"Tarantang, West Sumatra · 3.095 orang pernah singgah di sini"
"Surau Gadang, Nanggalo",Nanggalo,"Surau Gadang, West Sumatra · 5.616 orang pernah singgah di sini"
"Padang Pasir, Padang Barat",Padang Barat,"Padang Pasir, West Sumatra · 6.916 orang pernah singgah di sini"
"Air Tawar Barat, Padang Utara, Padang",Padang Barat,"Air Tawar Barat, West Sumatra · 30.239 orang pernah singgah di sini"
"Bukik Gado-gado, Padang Selatan, Padang",Padang Selatan,"Bukik Gado Gado, West Sumatra · 12.529 orang pernah singgah di sini"
"Alang Laweh, Padang Selatan, Padang",Padang Selatan,"jalan alang lawas 1 dalam no 7 · Alang Laweh, West Sumatra · 9.608 orang pernah singgah di sini"
"Sawahan Timur, Padang Timur",Padang Timur,"Sawahan Timur, West Sumatra · 3.212 orang pernah singgah di sini"
