Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
"Bengkalis, Riau, Indonesia",Bengkalis,Kota
"Pelalawan, Riau, Indonesia",Pelalawan,Kota
"Sinaboi, Rokan Hilir",Rokan Hilir,"Sinaboi, Rokan Hilir · 21.301 orang pernah singgah di sini"
"Muara Kelantan, Sungai Mandau, Siak",Siak,"Muara Kelantan, Riau · 5.146 orang pernah singgah di sini"
"Dumai, Riau",Dumai,Kota
Pekanbaru,Pekanbaru,Kota
"Cinta Raja, Sail, Pekanbaru",Pekanbaru,"Cinta Raja, Riau · 1.523 orang pernah singgah di sini"
"Kota Tinggi, Pekanbaru Kota, Kota Pekanbaru",Pekanbaru,"Kota Tinggi, Riau · 1.395 orang pernah singgah di sini"
"Air Hitam, Payung Sekaki, Pekanbaru",Pekanbaru,"Air Hitam, Riau · 14.497 orang pernah singgah di sini"
"Tengkerang Labuai, Bukit Raya",Bukit Raya,"Tengkerang Labuai, Riau · 6.712 orang pernah singgah di sini"
"Kampung Melayu, Sukajadi",Kampung Melayu,"Kampung Melayu, Riau · 6.079 orang pernah singgah di sini"
"Rintis, Lima Puluh",Lima Puluh,"Rintis, Riau · 469 orang pernah singgah di sini"
"Mandau, Riau, Indonesia",Mandau,Kota
"Tampan, Payung Sekaki",Payung Sekaki,"Tampan, Riau · 5.234 orang pernah singgah di sini"
"Rumbai Bukit, Rumbai",Rumbai,"Rumbai Bukit, Riau · 4.838 orang pernah singgah di sini"
"Limbungan, Rumbai Pesisir",Rumbai Pesisir,"Limbungan, Riau · 16.159 orang pernah singgah di sini"
"Suka Mulia, Sail",Sail,"Suka Mulia, Riau · 539 orang pernah singgah di sini"
"Sungai Apit, Riau, Indonesia",Sungai Apit,Kota
"Sidomulyo Barat, Tampan",Tampan,"Sidomulyo Barat, Riau · 3.189 orang pernah singgah di sini"
