Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
Ende,Ende,Kota
"Amagarapati, Larantuka, Flores Timur",Flores Timur,"Amagarapati, East Nusa Tenggara · 20.120 orang pernah singgah di sini"
"Balela, Larantuka, Flores Timur",Flores Timur,"Balela, Larantuka, Flores Timur, Nusa Tenggara Timur · 3.960 orang pernah singgah di sini"
"Manggarai, Nusa Tenggara Timur, Indonesia",Manggarai,Kota
"Sikka, Nusa Tenggara Timur, Indonesia",Sikka,Kota
"Sumbawa, Nusa Tenggara Barat, Indonesia",Sumba Barat,Kota
"Bugis, Taliwang, Sumbawa Barat",Sumba Barat,"Bugis, West Nusa Tenggara · 35.461 orang pernah singgah di sini"
"Sumbawa Besar, Nusa Tenggara Barat, Indonesia",Sumba Barat,Kota
"Batu Putih, Taliwang, Sumbawa Barat",Sumba Barat,"Batu Putih, West Nusa Tenggara · 6.798 orang pernah singgah di sini"
"Labu Sumbawa, Nusa Tenggara Barat, Indonesia",Sumba Barat,Kota
"Kota Waingapu, Sumba Timur",Sumba Timur,Kota
