Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Asahan","Asahan","Mobile - Sumut","Asahan, North Sumatra · 2.392 orang pernah singgah di sini","Delete",
"2","Asahan, Kisaran Barat","Asahan","Mobile - Sumut","Asahan, North Sumatra · 4.033 orang pernah singgah di sini","Delete",
"19","Langkat","Langkat","Mobile - Sumut","Langkat, North Sumatra · 17.200 orang pernah singgah di sini","Delete",
"20","Natal, Mandailing Natal","Mandailing Natal","Mobile - Sumut","Kota","Delete",
"27","Binjai","Binjai","Mobile - Sumut","Jalan Kurma · Binjai, Medan Denai, Medan, Sumatera Utara · 2.693 orang pernah singgah di sini","Delete",
"28","Kota Binjai","Binjai","Mobile - Sumut","Kota","Delete",
"29","Binjai Utara","Binjai","Mobile - Sumut","Binjai Utara, North Sumatra · 25.399 orang pernah singgah di sini","Delete",
"30","Banua Binjai","Binjai","Mobile - Sumut","Banua Binjai, South Kalimantan · 1.611 orang pernah singgah di sini","Delete",
"31","Binjai, Sumatera Selatan, Indonesia","Binjai","Mobile - Sumut","Kota","Delete",
"32","Kota Gunungsitoli","Gunungsitoli","Mobile - Sumut","Kota","Delete",
"33","Medan, Indonesia","Medan","Mobile - Sumut","Kota","Delete",
"34","Aur, Medan Maimun, Medan","Medan","Mobile - Sumut","Aur, North Sumatra · 3.850 orang pernah singgah di sini","Delete",
"35","Amplas, Medan Amplas, Medan","Medan","Mobile - Sumut","Amplas, North Sumatra · 116.938 orang pernah singgah di sini","Delete",
"36","Anggrung, Medan Polonia, Medan","Medan","Mobile - Sumut","Anggrung, North Sumatra · 3.575 orang pernah singgah di sini","Delete",
"37","Besar, Medan Labuhan, Medan","Medan","Mobile - Sumut","Besar, North Sumatra · 1.538 orang pernah singgah di sini","Delete",
"40","Kota Sibolga","Sibolga","Mobile - Sumut","Kota","Delete",
"41","Kota Tebing Tinggi","Tebing Tinggi","Mobile - Sumut","Kota","Delete",
"42","Tebing Tinggi Okura, Rumbai Pesisir","Tebing Tinggi","Mobile - Sumut","Tebing Tinggi Okura, Riau · 4.341 orang pernah singgah di sini","Delete",
"43","Kampong Tebing Tinggi, Melaka, Malaysia","Tebing Tinggi","Mobile - Sumut","Kota","Delete",
,,,,,,
