Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Banjarmasin","Banjarmasin","kalimantan selatan","Kota","Delete",
"2","Antasan Besar, Banjarmasin Tengah, Banjarmasin","Banjarmasin","kalimantan selatan","Antasan Besar, South Kalimantan · 948 orang pernah singgah di sini","Delete",
"3","Pasar Lama, Banjarmasin Tengah","Banjarmasin","kalimantan selatan","Pasar Lama, South Kalimantan · 3.625 orang pernah singgah di sini","Delete",
"4","Sungai Baru, Banjarmasin Tengah","Banjarmasin","kalimantan selatan","Sungai Baru, South Kalimantan · 2.143 orang pernah singgah di sini","Delete",
"5","Alalak Tengah, Banjarmasin Utara","Banjarmasin","kalimantan selatan","Alalak Tengah, South Kalimantan · 5.885 orang pernah singgah di sini","Delete",
"6","Antasan Besar, Banjarmasin Tengah, Banjarmasin","Antasan Besar, Banjarmasin Tengah, Banjarmasin","kalimantan selatan","Antasan Besar, South Kalimantan · 948 orang pernah singgah di sini","Delete",
"7","Pasar Lama, Banjarmasin Tengah","Pasar Lama, Banjarmasin Tengah","kalimantan selatan","Pasar Lama, South Kalimantan · 3.625 orang pernah singgah di sini","Delete",
"8","Sungai Baru, Banjarmasin Tengah","Sungai Baru, Banjarmasin Tengah","kalimantan selatan","Sungai Baru, South Kalimantan · 2.143 orang pernah singgah di sini","Delete",
"9","Alalak Tengah, Banjarmasin Utara","Alalak Tengah, Banjarmasin Utara","kalimantan selatan","Alalak Tengah, South Kalimantan · 5.885 orang pernah singgah di sini","Delete",
"10","Tapin","Tapin","kalimantan selatan","Kota","Delete",
"11","Kupang, Tapin Utara","Tapin","kalimantan selatan","Kupang, South Kalimantan · 5.527 orang pernah singgah di sini","Delete",
"12","Tapin, Guizhou, China","Tapin","kalimantan selatan","Tapin, Guizhou, China · 87 orang pernah singgah di sini","Delete",
"13","Tapin, Kachin State, Myanmar","Tapin","kalimantan selatan","Tapin, Kachin State, Myanmar · 57 orang pernah singgah di sini","Delete",
"14","Tapin, Poland","Tapin","kalimantan selatan","Tapin, Poland · 117 orang pernah singgah di sini","Delete",
"15","Kupang, Tapin Utara","Kupang, Tapin Utara","kalimantan selatan","Kupang, South Kalimantan · 5.527 orang pernah singgah di sini","Delete",
"16","Bangkalanmelajoe, South Kalimantan","Bangkalanmelajoe, South Kalimantan","kalimantan selatan","Bangkalanmelajoe, South Kalimantan · 2.179 orang pernah singgah di sini","Delete",
"17","Sungai Kupang","Sungai Kupang","kalimantan selatan","Sungai Kupang, South Kalimantan · 1.668 orang pernah singgah di sini","Delete",
"18","Balangan","Balangan","kalimantan selatan","Kota","Delete",
"19","Balanganza, Democratic Republic of the Congo","Balangan","kalimantan selatan","Balanganza, Democratic Republic of the Congo · 3.993 orang pernah singgah di sini","Delete",
"20","Balangan, Philippines","Balangan","kalimantan selatan","Balangan, Philippines · 139 orang pernah singgah di sini","Delete",
"21","Balangan-e `Olya, Fars Province, Iran","Balangan","kalimantan selatan","Balangan-e `Olya, Fars Province, Iran · 72 orang pernah singgah di sini","Delete",
"22","Balanganan, Philippines","Balangan","kalimantan selatan","Balanganan, Philippines · 287 orang pernah singgah di sini","Delete",
"23","Banua Binjai","Banua Binjai","kalimantan selatan","Banua Binjai, South Kalimantan · 1.663 orang pernah singgah di sini","Delete",
"24","Pelaihari, Kalimantan Selatan, Indonesia","Pelaihari, Kalimantan Selatan, Indonesia","kalimantan selatan","Kota","Delete",
"25","Barabai, Kalimantan Selatan, Indonesia","Barabai, Kalimantan Selatan, Indonesia","kalimantan selatan","Kota","Delete",
"26","Barabai Selatan","Barabai, Kalimantan Selatan, Indonesia","kalimantan selatan","Barabai Selatan, South Kalimantan · 78 orang pernah singgah di sini","Delete",
"27","Batulicin, Kalimantan Selatan, Indonesia","Batulicin, Kalimantan Selatan, Indonesia","kalimantan selatan","Kota","Delete",
"28","Kandangan, Kalimantan Selatan, Indonesia","Kandangan, Kalimantan Selatan, Indonesia","kalimantan selatan","Kota","Delete",
"29","Kotabaru, Kalimantan Selatan, Indonesia","Kotabaru, Kalimantan Selatan, Indonesia","kalimantan selatan","Kota","Delete",
,,,,,,
