Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Sabiyan","Sabiyan","jawa timur","Sabiyan, East Java · 4.760 orang pernah singgah di sini","Delete",
"2","Sabiyan, Ethiopia","Sabiyan","jawa timur","Sabiyan, Ethiopia · 4.579 orang pernah singgah di sini","Delete",
"3","Banyumas, Sampang","Banyumas, Sampang","jawa timur","Banyumas, East Java · 1.210 orang pernah singgah di sini","Delete",
"4","Sampang, Jawa Timur, Indonesia","Sampang, Jawa Timur, Indonesia","jawa timur","Kota","Delete",
"5","Rong Tengah, Sampang","Rong Tengah, Sampang","jawa timur","Rong Tengah, East Java · 186 orang pernah singgah di sini","Delete",
"6","Kabupaten Sumenep","Kabupaten Sumenep","jawa timur","Kota","Delete",
"7","Gedungan, Kota Sumenep","Gedungan, Kota Sumenep","jawa timur","Gedungan, East Java · 2.562 orang pernah singgah di sini","Delete",
"8","Paberasan, Kota Sumenep","Paberasan, Kota Sumenep","jawa timur","Paberasan, East Java · 4.210 orang pernah singgah di sini","Delete",
"9","Kebunan, Kota Sumenep","Kebunan, Kota Sumenep","jawa timur","Kebunan, East Java · 1.860 orang pernah singgah di sini","Delete",
"10","Parsanga, Kota Sumenep","Parsanga, Kota Sumenep","jawa timur","Parsanga, East Java · 1.166 orang pernah singgah di sini","Delete",
"11","Banyuates, Jawa Timur, Indonesia","Banyuates, Jawa Timur, Indonesia","jawa timur","Kota","Delete",
"12","Camplong-d'Aude","Camplong-d'Aude","jawa timur","Kota","Delete",
"13","Jrengik, Jawa Timur, Indonesia","Jrengik, Jawa Timur, Indonesia","jawa timur","Kota","Delete",
"14","Jombang, Jawa Timur, Indonesia","Jombang, Jawa Timur, Indonesia","jawa timur","Kota","Delete",
"15","Ketapang, Ketapang","Ketapang","jawa timur","Kota","Delete",
"16","Ketapang","Ketapang","jawa timur","Ketapang, East Java · 4.439 orang pernah singgah di sini","Delete",
"17","Ketapang Kuning","Ketapang","jawa timur","Ketapang Kuning, East Java · 935 orang pernah singgah di sini","Delete",
"18","Ketapang, Teluk Betung Selatan","Ketapang","jawa timur","Ketapang, Lampung · 1.061 orang pernah singgah di sini","Delete",
"19","Ketapang, Jawa Timur, Indonesia","Ketapang","jawa timur","Kota","Delete",
"20","Ketapang Kuning","Ketapang Kuning","jawa timur","Ketapang Kuning, East Java · 935 orang pernah singgah di sini","Delete",
"21","Madura","Madura","jawa timur","Kota","Delete",
"22","Madurai","Madura","jawa timur","Kota","Delete",
"23","Madura, Jawa Barat, Indonesia","Madura","jawa timur","Kota","Delete",
"24","Madura, South Sumatra","Madura","jawa timur","Madura, South Sumatra · 4.894 orang pernah singgah di sini","Delete",
"25","Madura, Sulawesi Utara, Indonesia","Madura","jawa timur","Kota","Delete",
"26","Robatal, Jawa Timur, Indonesia","Robatal, Jawa Timur, Indonesia","jawa timur","Kota","Delete",
"27","Torjun, Jawa Timur, Indonesia","Torjun, Jawa Timur, Indonesia","jawa timur","Kota","Delete",
,,,,,,
