Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Mojokerto","mojokerto","jawa timur","Kota","Delete",
"2","Kranggan, Kota Mojokerto","mojokerto","jawa timur","Kranggan, East Java · 3.200 orang pernah singgah di sini","Delete",
"3","Jagalan,Mojokerto,Jawa Timur","mojokerto","jawa timur","Jagalan, East Java · 1.865 orang pernah singgah di sini","Delete",
"4","Lamongan","lamongan","jawa timur","Kota","Delete",
"5","Jetis, Lamongan","lamongan","jawa timur","Jetis, East Java · 562 orang pernah singgah di sini","Delete",
"6","Pucanganom, Sidoarjo","sidoarjo","jawa timur","Pucanganom, East Java · 1.283 orang pernah singgah di sini","Delete",
"7","Sidoarjo, Jawa Timur, Indonesia","sidoarjo","jawa timur","Kota","Delete",
"8","Permisan Sidoarjo","sidoarjo","jawa timur","Permisan Sidoarjo, East Java · 257 orang pernah singgah di sini","Delete",
"9","Sidoarjo, Central Sulawesi","sidoarjo","jawa timur","Sidoarjo, Central Sulawesi · 3.338 orang pernah singgah di sini","Delete",
"10","Sidoarjo, Southeast Sulawesi","sidoarjo","jawa timur","Sidoarjo, Southeast Sulawesi · 1.031 orang pernah singgah di sini","Delete",
"11","Babat Jerawat","babat","jawa timur","Babat Jerawat, East Java · 1.773 orang pernah singgah di sini","Delete",
"12","Babat, Jawa Timur, Indonesia","babat","jawa timur","Kota","Delete",
"13","Babat, West Java","babat","jawa timur","Babat, West Java · 978 orang pernah singgah di sini","Delete",
"14","Babat, Hungary","babat","jawa timur","Babat, Hungary · 415 orang pernah singgah di sini","Delete",
"15","Babat, Sumatera Selatan, Indonesia","babat","jawa timur","Kota","Delete",
"16","Ploso","ploso","jawa timur","Ploso, Central Java · 3.482 orang pernah singgah di sini","Delete",
"17","Ploso","ploso","jawa timur","Ploso, East Java · 675 orang pernah singgah di sini","Delete",
"18","Ploso","ploso","jawa timur","Ploso, Central Java · 119 orang pernah singgah di sini","Delete",
"19","Losari, Ploso","ploso","jawa timur","Losari, East Java · 2.231 orang pernah singgah di sini","Delete",
"20","Plosokandang","ploso","jawa timur","Plosokandang, East Java · 12.100 orang pernah singgah di sini","Delete",
"21","Kranggan, Kota Mojokerto","Kranggan, Kota Mojokerto","jawa timur","Kranggan, East Java · 3.200 orang pernah singgah di sini","Delete",
"22","Jagalan,Mojokerto,Jawa Timur","Jagalan,Mojokerto,Jawa Timur","jawa timur","Jagalan, East Java · 1.865 orang pernah singgah di sini","Delete",
"23","Pucanganom, Sidoarjo","Pucanganom, Sidoarjo","jawa timur","Pucanganom, East Java · 1.283 orang pernah singgah di sini","Delete",
,,,,,,
