Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Balela, Larantuka, Flores Timur","Balela, Larantuka, Flores Timur","nusa tenggara timur","Balela, Larantuka, Flores Timur, Nusa Tenggara Timur · 3.862 orang pernah singgah di sini","Delete",
"2","Kupang","Kupang","nusa tenggara timur","Kota","Delete",
"3","Kupang","Kupang","nusa tenggara timur","Kupang, East Java · 910 orang pernah singgah di sini","Delete",
"4","Kupang, Brunei","Kupang","nusa tenggara timur","Kota","Delete",
"5","Sungai Kupang","Kupang","nusa tenggara timur","Sungai Kupang, South Kalimantan · 1.668 orang pernah singgah di sini","Delete",
"6","Dukuh Kupang","Kupang","nusa tenggara timur","Dukuh Kupang, East Java · 19.185 orang pernah singgah di sini","Delete",
"7","Manggarai, Nusa Tenggara Timur, Indonesia","Manggarai, Nusa Tenggara Timur, Indonesia","nusa tenggara timur","Kota","Delete",
"8","Sikka, Nusa Tenggara Timur, Indonesia","Sikka, Nusa Tenggara Timur, Indonesia","nusa tenggara timur","Kota","Delete",
"9","Ruteng, Nusa Tenggara Timur, Indonesia","Ruteng, Nusa Tenggara Timur, Indonesia","nusa tenggara timur","Kota","Delete",
"10","Larantuka, Nusa Tenggara Timur, Indonesia","Larantuka, Nusa Tenggara Timur, Indonesia","nusa tenggara timur","Kota","Delete",
"11","Balela, Larantuka, Flores Timur","Larantuka, Nusa Tenggara Timur, Indonesia","nusa tenggara timur","Balela, Larantuka, Flores Timur, Nusa Tenggara Timur · 3.862 orang pernah singgah di sini","Delete",
"12","Bajawa, Nusa Tenggara Timur, Indonesia","Bajawa, Nusa Tenggara Timur, Indonesia","nusa tenggara timur","Kota","Delete",
"13","Soe, Nusa Tenggara Timur, Indonesia","Soe, Nusa Tenggara Timur, Indonesia","nusa tenggara timur","Kota","Delete",
"14","Soema, East Nusa Tenggara","Soe, Nusa Tenggara Timur, Indonesia","nusa tenggara timur","Soema, East Nusa Tenggara · 43 orang pernah singgah di sini","Delete",
"15","Cakranegara Timur, Cakranegara, Mataram","Soe, Nusa Tenggara Timur, Indonesia","nusa tenggara timur","Cakranegara Timur, West Nusa Tenggara · 16.844 orang pernah singgah di sini","Delete",
"16","Soema, East Nusa Tenggara","Soema, East Nusa Tenggara","nusa tenggara timur","Soema, East Nusa Tenggara · 43 orang pernah singgah di sini","Delete",
,,,,,,
