Nomor,Lokasi Posting,Kecamatan/Kab/Kota,Provinsi,Info Tambahan,Delete,
"1","Pasuruan","pasuruan","jawa timur","Kota","Delete",
"2","Surabaya, Indonesia","surabaya","jawa timur","Kota","Delete",
"3","Bandar Surabaya, Lampung","surabaya","jawa timur","Bandar Surabaya, Lampung · 256.666 orang pernah singgah di sini","Delete",
"4","Sukolilo, East Java","surabaya","jawa timur","Sukolilo, East Java · 11.218 orang pernah singgah di sini","Delete",
"5","Babakan Surabaya","surabaya","jawa timur","Babakan Surabaya, West Java · 591 orang pernah singgah di sini","Delete",
"6","Surabaya, Kedaton","surabaya","jawa timur","Surabaya, Lampung · 961 orang pernah singgah di sini","Delete",
"1","Pasuruan","pasuruan","jawa timur","Kota","Delete",
"2","Surabaya, Indonesia","surabaya","jawa timur","Kota","Delete",
"3","Bandar Surabaya, Lampung","surabaya","jawa timur","Bandar Surabaya, Lampung · 256.666 orang pernah singgah di sini","Delete",
"4","Sukolilo, East Java","surabaya","jawa timur","Sukolilo, East Java · 11.218 orang pernah singgah di sini","Delete",
"5","Babakan Surabaya","surabaya","jawa timur","Babakan Surabaya, West Java · 591 orang pernah singgah di sini","Delete",
"6","Surabaya, Kedaton","surabaya","jawa timur","Surabaya, Lampung · 961 orang pernah singgah di sini","Delete",
"7","Surabaya, Indonesia","kota surabaya","jawa timur","Kota","Delete",
"8","Ampel","kota surabaya","jawa timur","Jalan Nyamplungan 4 · Ampel, Jawa Timur · 12.167 orang pernah singgah di sini","Delete",
"9","Pasuruan","kota pasuruan","jawa timur","Kota","Delete",
,,,,,,
